Country Name,Country Code,Population
Sao Tome and Principe,STP,219161
Suriname,SUR,586634
Slovakia,SVK,5458827
Slovenia,SVN,2100126
Sweden,SWE,10353442
Eswatini,SWZ,1160164
Sint Maarten (Dutch part),SXM,40812
Seychelles,SYC,98462
Syrian Arab Republic,SYR,17500657
Turks and Caicos Islands,TCA,38718
Chad,TCD,16425859
East Asia & Pacific (IDA & IBRD countries),TEA,2079198305
Europe & Central Asia (IDA & IBRD countries),TEC,462247461
Togo,TGO,8278737
Thailand,THA,69799978
Tajikistan,TJK,9537642
Turkmenistan,TKM,6031187
Latin America & the Caribbean (IDA & IBRD countries),TLA,636492840
Timor-Leste,TLS,1318442
Middle East & North Africa (IDA & IBRD countries),TMN,391344574
Tonga,TON,105697
South Asia (IDA & IBRD),TSA,1856882402
Sub-Saharan Africa (IDA & IBRD countries),TSS,1136046775
Trinidad and Tobago,TTO,1399491
Tunisia,TUN,11818618
Turkey,TUR,84339067
Tuvalu,TUV,11792
United Republic of Tanzania,TZA,59734213
Uganda,UGA,45741000
Ukraine,UKR,44134693
Upper middle income,UMC,2513672792
Uruguay,URY,3473727
United States of America,USA,329484123
Uzbekistan,UZB,34232050
St. Vincent and the Grenadines,VCT,110947
"Venezuela, RB",VEN,28435943
British Virgin Islands,VGB,30237
Virgin Islands (U.S.),VIR,106290
Vietnam,VNM,97338583
Vanuatu,VUT,307150
World,WLD,7752840547
Samoa,WSM,198410
Kosovo,XKX,1775378
Yemen,YEM,29825968
South Africa,ZAF,59308690
Zambia,ZMB,18383956
Zimbabwe,ZWE,14862927
